procedure,arm,instrument,tool_topic,duration_s,n_samples,pitch_travel_deg,yaw_travel_deg,roll_travel_deg,pitch_lo_deg,pitch_hi_deg,pitch_rom_deg,yaw_lo_deg,yaw_hi_deg,yaw_rom_deg,roll_lo_deg,roll_hi_deg,roll_rom_deg
A_1,PSM1,all,,202.4,20102,1274.2,1891.5,2736.9,15.2,64.9,49.7,-29.0,32.9,61.9,67.8,182.5,114.7
A_1,PSM2,all,,202.4,20102,387.2,1962.1,2146.3,54.6,70.1,15.5,-47.3,54.6,102.0,-151.3,-46.2,105.2
A_2,PSM1,all,,956.5,89727,8815.0,13665.6,17766.5,-27.9,89.7,117.6,-79.0,46.3,125.3,39.4,257.7,218.3
A_2,PSM2,all,,956.5,89727,2274.7,2585.4,3888.7,-33.9,47.9,81.8,-42.0,56.0,98.0,-110.6,-7.9,102.7
A_3,PSM1,all,,1099.4,83806,5451.0,6349.9,10274.3,-45.7,28.6,74.3,-35.7,34.9,70.5,47.1,231.9,184.9
A_3,PSM2,all,,1099.4,83806,2359.6,3429.3,4455.7,-37.1,45.3,82.4,-66.9,40.1,107.0,-155.0,20.7,175.7
B_1,PSM1,all,,303.1,29906,2143.7,3860.5,5509.1,6.4,69.3,62.9,-85.0,30.3,115.3,17.5,176.8,159.3
B_1,PSM2,all,,303.1,29906,642.2,908.9,618.2,-53.7,-0.7,53.0,-26.6,45.8,72.4,-73.0,-52.4,20.6
B_2,PSM1,all,,804.1,79885,6289.3,8588.1,9277.0,-25.0,51.9,76.9,-47.8,85.0,132.8,42.8,260.0,217.2
B_2,PSM2,all,,804.1,79885,857.4,971.7,1210.3,-26.9,21.6,48.5,-20.8,26.5,47.3,-98.1,-15.7,82.4
B_3,PSM1,all,,512.9,50696,3076.2,4205.8,5807.9,8.8,65.0,56.2,-20.8,52.4,73.3,70.1,187.0,116.8
B_3,PSM2,all,,512.9,50696,1611.9,1500.9,1409.3,-23.8,41.6,65.4,-24.8,20.5,45.4,101.4,158.5,57.1
C_1,PSM1,all,,675.1,65631,877.2,1307.5,2442.9,-5.9,41.6,47.5,-49.6,13.2,62.8,52.3,240.3,188.0
C_1,PSM2,all,,675.1,65631,1181.2,1730.6,1877.3,-8.5,38.9,47.5,-57.7,25.9,83.6,-145.5,-73.3,72.2
C_2,PSM1,all,,880.1,87482,1326.3,2135.4,3986.9,11.9,55.1,43.2,-5.7,42.2,47.9,173.1,260.0,86.9
